student_in_batch,mark,expected_mark
1,3,2
2,2,3
3,2,3
4,3,3
5,2,3
6,3,0
7,3,3
8,3,0
9,3,3
10,3,3
11,0,3
12,0,3
13,3,0
14,3,3
15,2,0
16,1,3
17,3,3
18,3,2
19,3,2
20,3,3
21,3,3
22,3,0
23,3,0
24,3,0
25,1,0
26,1,0
