,precision,recall,f1-score,support
0,0.9,1.0,0.9473684210526315,9.0
1,0.0,0.0,0.0,0.0
2,0.5,0.6666666666666666,0.5714285714285714,3.0
3,1.0,0.7142857142857143,0.8333333333333334,14.0
accuracy,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
macro avg,0.6,0.5952380952380952,0.5880325814536341,26.0
weighted avg,0.9076923076923078,0.8076923076923077,0.8425872373240794,26.0
