student_in_batch,mark,expected_mark
1,0,2
2,0,3
3,0,3
4,3,3
5,3,2
6,3,0
7,2,3
8,0,0
9,3,3
10,1,3
11,3,3
12,3,3
13,3,0
14,3,3
15,1,0
16,2,3
17,0,2
18,3,2
19,1,2
20,1,2
21,1,3
22,1,0
23,3,0
24,0,0
25,1,0
26,1,0
