,precision,recall,f1-score,support
0,1.0,0.7777777777777778,0.875,9.0
1,0.0,0.0,0.0,0.0
2,0.6,0.5,0.5454545454545454,6.0
3,0.8461538461538461,1.0,0.9166666666666666,11.0
accuracy,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
macro avg,0.6115384615384616,0.5694444444444444,0.584280303030303,26.0
weighted avg,0.842603550295858,0.8076923076923077,0.816579254079254,26.0
