run_dir,stage,T,top_p,n,acc_strict,acc_relaxed,bias_mean,pearson_strict,pearson_relaxed_remap,kappa_strict_nom,kappa_strict_quad,kappa_relaxed_nom,kappa_relaxed_quad,abs_bias
GPT5_GraphBatch_Zero_Shot_Group1_PROPER1_EffortLow_VerbosityLow,Zero-shot,,,26,0.8461538461538461,0.9230769230769231,0.0,0.9586465017225054,0.9797507788161994,0.7463414634146341,0.957792207792208,0.8666666666666668,0.9797507788161994,0.0
GPT5_GraphBatch_Zero_Shot_Group1_PROPER1_EffortHigh_VerbosityHigh,Zero-shot,,,26,0.7692307692307693,0.8846153846153846,0.038461538461538464,0.9047333623248005,0.9381972195318996,0.6380510440835268,0.9000853970964988,0.8059701492537313,0.9379968203497617,0.038461538461538464
GPT5_GraphBatch_Zero_Shot_Group1_PROPER1_EffortHigh_VerbosityLow,Zero-shot,,,26,0.7692307692307693,0.9230769230769231,0.11538461538461539,0.9108159870767251,0.9519097012943694,0.6494382022471911,0.893732970027248,0.871604938271605,0.946058091286307,0.11538461538461539
GPT5_GraphBatch_Zero_Shot_Group1_PROPER1_EffortLow_VerbosityHigh,Zero-shot,,,26,0.7307692307692307,0.8461538461538461,0.23076923076923078,0.912531544905416,0.937245229107249,0.5787037037037037,0.881818181818182,0.7419354838709677,0.9233361415332771,0.23076923076923078
