,precision,recall,f1-score,support
0,1.0,0.8888888888888888,0.9411764705882353,9.0
1,0.0,0.0,0.0,0.0
2,1.0,0.3333333333333333,0.5,6.0
3,0.7857142857142857,1.0,0.88,11.0
accuracy,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077
macro avg,0.6964285714285714,0.5555555555555556,0.5802941176470588,26.0
weighted avg,0.9093406593406593,0.8076923076923077,0.8134841628959275,26.0
