,precision,recall,f1-score,support
0,1.0,0.6666666666666666,0.8,9.0
1,0.0,0.0,0.0,0.0
2,0.5,0.25,0.3333333333333333,4.0
3,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
accuracy,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307
macro avg,0.5892857142857143,0.45993589743589747,0.5055555555555555,26.0
weighted avg,0.8516483516483516,0.7307692307692307,0.7726495726495727,26.0
