,precision,recall,f1-score,support
0,1.0,0.5,0.6666666666666666,8.0
1,0.0,0.0,0.0,0.0
2,0.5,0.3333333333333333,0.4,3.0
3,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.5583333333333333,0.40476190476190477,0.45632183908045976,25.0
weighted avg,0.7906666666666666,0.64,0.6861609195402297,25.0
