student_in_batch,mark,expected_mark
1,2,2
2,0,3
3,3,3
4,3,3
5,2,2
6,0,0
7,2,3
8,3,0
9,3,3
10,3,3
11,3,3
12,0,3
13,3,0
14,2,3
15,3,0
16,3,3
17,3,2
18,3,2
19,2,2
20,3,2
21,2,3
22,3,0
23,3,0
24,3,0
25,0,0
26,3,0
