,precision,recall,f1-score,support
0,0.75,0.3333333333333333,0.46153846153846156,9.0
1,0.0,0.0,0.0,0.0
2,0.4,0.3333333333333333,0.36363636363636365,6.0
3,0.38461538461538464,0.45454545454545453,0.4166666666666667,11.0
accuracy,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
macro avg,0.3836538461538461,0.2803030303030303,0.310460372960373,26.0
weighted avg,0.5146449704142012,0.38461538461538464,0.41996144880760267,26.0
