student_in_batch,mark,expected_mark
1,1,2
2,3,3
3,2,3
4,1,3
5,3,3
6,3,0
7,0,3
8,3,0
9,0,3
10,3,3
11,3,3
12,1,3
13,3,0
14,1,3
15,3,0
16,3,3
17,3,3
18,1,2
19,3,2
20,3,3
21,3,3
22,1,0
23,0,0
24,0,0
25,0,0
26,0,0
