student_in_batch,mark,expected_mark
1,3,2
2,0,3
3,3,3
4,3,3
5,3,2
6,3,0
7,0,3
8,0,0
9,3,3
10,1,3
11,3,3
12,3,3
13,3,0
14,3,3
15,0,0
16,3,3
17,1,2
18,3,2
19,3,2
20,2,2
21,3,3
22,2,0
23,3,0
24,0,0
25,0,0
26,2,0
