,precision,recall,f1-score,support
0,1.0,0.7777777777777778,0.875,9.0
1,0.0,0.0,0.0,0.0
2,0.75,0.75,0.75,4.0
3,1.0,0.9230769230769231,0.96,13.0
accuracy,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
macro avg,0.6875,0.6127136752136753,0.64625,26.0
weighted avg,0.9615384615384616,0.8461538461538461,0.8982692307692308,26.0
