run_dir,model_id,group,prompt_stage,temperature,top_p,seed,acc_strict,acc_strict_ci_lo,acc_strict_ci_hi,acc_relaxed,acc_relaxed_ci_lo,acc_relaxed_ci_hi,kappa_strict_nom,kappa_strict_quad,kappa_relaxed_nom,kappa_relaxed_quad,kappa_s_nom_ci_lo,kappa_s_nom_ci_hi,kappa_s_quad_ci_lo,kappa_s_quad_ci_hi,kappa_r_nom_ci_lo,kappa_r_nom_ci_hi,kappa_r_quad_ci_lo,kappa_r_quad_ci_hi,bias_mean,bias_ci_lo,bias_ci_hi,tolerated_offdiag_total,macro_f1_strict,weighted_f1_strict,matches_correct,prompt_text,StageCanon,Model,Group,T,IterCanon,pearson_strict,pearson_relaxed,abs_bias
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_1.4_topP_0.95,Gemini,Group1,zero-shot,1.4,0.95,42424242,0.8462,0.6647,0.9385,0.9615,0.8111,0.9932,0.7541,0.8695,0.9356,0.9592,0.5272,0.9373,0.7005,0.9897,0.7833,1.0,0.844,1.0,-0.2692,-0.5385,-0.0385,3,0.6235087719298246,0.8787044534412956,22,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group1,1.4,,,,0.2692
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_1_topP_0.85,Gemini,Group1,zero-shot,1.0,0.85,42424242,0.8077,0.6212,0.9149,0.9615,0.8111,0.9932,0.7052,0.8833,0.9356,0.9592,0.477,0.9259,0.7187,0.9806,0.7833,1.0,0.844,1.0,-0.1923,-0.4615,0.0385,4,0.6219607843137255,0.8765610859728507,21,Using the memo grade the 26 students graphs.,Zero-shot,Gemini 2.5 Pro,Group1,1.0,,,,0.1923
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_0.6_topP_0.95,Gemini,Group1,zero-shot,0.6,0.95,42424242,0.8077,0.6212,0.9149,0.9615,0.8111,0.9932,0.7005,0.8372,0.9342,0.9108,0.4694,0.9255,0.6043,0.981,0.7689,1.0,0.6857,1.0,-0.3077,-0.6154,-0.0769,4,0.5880325814536341,0.8425872373240794,21,Using the memo grade the 26 students graphs.,Zero-shot,Gemini 2.5 Pro,Group1,0.6,,,,0.3077
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_1.2_topP_0.95,Gemini,Group1,zero-shot,1.2,0.95,42424242,0.8077,0.6212,0.9149,0.8846,0.7102,0.96,0.6725,0.7477,0.802,0.7931,0.4196,0.8805,0.488,0.9527,0.5687,1.0,0.536,1.0,-0.3462,-0.7692,0.0,2,0.5462454212454213,0.8184699915469147,21,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group1,1.2,,,,0.3462
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_0.8_topP_0.95,Gemini,Group1,zero-shot,0.8,0.95,42424242,0.7692,0.5795,0.8897,0.9231,0.7586,0.9786,0.6338,0.8006,0.8693,0.9015,0.3953,0.8564,0.5666,0.962,0.6821,1.0,0.679,1.0,-0.3077,-0.6538,-0.0385,4,0.5305263157894736,0.8114979757085019,20,Using the memo grade the 26 students graphs.,Zero-shot,Gemini 2.5 Pro,Group1,0.8,,,,0.3077
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_1_topP_0.95,Gemini,Group1,zero-shot,1.0,0.95,42424242,0.7692,0.5795,0.8897,0.9231,0.7586,0.9786,0.6303,0.7526,0.8729,0.8703,0.3966,0.856,0.5111,0.924,0.679,1.0,0.6389,1.0,-0.4615,-0.8462,-0.1538,4,0.5226190476190476,0.7915750915750916,20,Using the memo grade the 26 students graphs.,Zero-shot,Gemini 2.5 Pro,Group1,1.0,,,,0.4615
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_1.4_topP_0.9,Gemini,Group1,zero-shot,1.4,0.9,42424242,0.7308,0.5392,0.863,0.9615,0.8111,0.9932,0.5892,0.7804,0.9342,0.9108,0.3516,0.8107,0.5353,0.9504,0.7689,1.0,0.6857,1.0,-0.2692,-0.6538,0.0385,6,0.5456349206349207,0.7838827838827839,19,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group1,1.4,,,,0.2692
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group1_All\Gemini_GraphBatch_ZERO_SHOT_Group1_Temp_1.4_topP_0.85,Gemini,Group1,zero-shot,1.4,0.85,42424242,0.6923,0.5001,0.835,0.9231,0.7586,0.9786,0.5185,0.8349,0.8646,0.9021,0.2731,0.7387,0.6086,0.9605,0.6524,1.0,0.6775,1.0,-0.2308,-0.5385,0.0385,6,0.4222222222222222,0.7384615384615386,18,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group1,1.4,,,,0.2308
