,precision,recall,f1-score,support
0,1.0,0.4444444444444444,0.6153846153846154,9.0
1,0.0,0.0,0.0,0.0
2,0.42857142857142855,0.75,0.5454545454545454,4.0
3,0.8333333333333334,0.7692307692307693,0.8,13.0
accuracy,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539
macro avg,0.5654761904761905,0.49091880341880345,0.4902097902097902,26.0
weighted avg,0.8287545787545787,0.6538461538461539,0.6969338353953738,26.0
