,precision,recall,f1-score,support
0,1.0,0.6666666666666666,0.8,9.0
1,0.0,0.0,0.0,0.0
2,0.5,0.5,0.5,4.0
3,1.0,0.8461538461538461,0.9166666666666666,13.0
accuracy,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307
macro avg,0.625,0.5032051282051282,0.5541666666666667,26.0
weighted avg,0.9230769230769231,0.7307692307692307,0.8121794871794872,26.0
