run_dir,model_id,group,prompt_stage,temperature,top_p,seed,acc_strict,acc_strict_ci_lo,acc_strict_ci_hi,acc_relaxed,acc_relaxed_ci_lo,acc_relaxed_ci_hi,kappa_strict_nom,kappa_strict_quad,kappa_relaxed_nom,kappa_relaxed_quad,kappa_s_nom_ci_lo,kappa_s_nom_ci_hi,kappa_s_quad_ci_lo,kappa_s_quad_ci_hi,kappa_r_nom_ci_lo,kappa_r_nom_ci_hi,kappa_r_quad_ci_lo,kappa_r_quad_ci_hi,bias_mean,bias_ci_lo,bias_ci_hi,tolerated_offdiag_total,macro_f1_strict,weighted_f1_strict,matches_correct,prompt_text,StageCanon,Model,Group,T,pearson_strict,pearson_relaxed
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group2_All\Gemini_GraphBatch_ZERO_SHOT_Group2_Temp_1.2_topP_0.85,Gemini,Group2,zero-shot,1.2,0.85,42424242,0.8462,0.6647,0.9385,0.8846,0.7102,0.96,0.7541,0.8494,0.8143,0.8585,0.5357,0.9363,0.6225,0.9897,0.5969,1.0,0.6278,1.0,-0.2692,-0.5769,-0.0385,1,0.6235087719298246,0.8787044534412956,22,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group2,1.2,,
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group2_All\Gemini_GraphBatch_ZERO_SHOT_Group2_Temp_1.2_topP_0.9,Gemini,Group2,zero-shot,1.2,0.9,42424242,0.7692,0.5795,0.8897,0.9231,0.7586,0.9786,0.6277,0.9071,0.8677,0.9497,0.4091,0.8523,0.7767,0.9782,0.6667,1.0,0.8326,1.0,-0.1154,-0.3462,0.0769,4,0.457516339869281,0.8044243338360985,20,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group2,1.2,,
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group2_All\Gemini_GraphBatch_ZERO_SHOT_Group2_Temp_0.6_topP_0.95,Gemini,Group2,zero-shot,0.6,0.95,42424242,0.7692,0.5795,0.8897,0.8462,0.6647,0.9385,0.6471,0.8648,0.7581,0.8898,0.4335,0.8639,0.6916,0.9686,0.5357,0.9384,0.7151,0.989,0.0,-0.2692,0.2692,2,0.5736263736263736,0.839898562975486,20,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group2,0.6,,
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group2_All\Gemini_GraphBatch_ZERO_SHOT_Group2_Temp_0.8_topP_0.95,Gemini,Group2,zero-shot,0.8,0.95,42424242,0.8462,0.6647,0.9385,0.9231,0.7586,0.9786,0.7463,0.8995,0.8741,0.9476,0.5272,0.9312,0.7535,0.9905,0.6782,1.0,0.8298,1.0,-0.1538,-0.3846,0.0385,2,0.5879629629629629,0.8839031339031339,22,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group2,0.8,,
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group2_All\Gemini_GraphBatch_ZERO_SHOT_Group2_Temp_1_topP_0.95,Gemini,Group2,zero-shot,1.0,0.95,42424242,0.8077,0.6212,0.9149,0.9231,0.7586,0.9786,0.6934,0.8383,0.8729,0.8703,0.4846,0.8774,0.6043,0.9806,0.675,1.0,0.6371,1.0,-0.2308,-0.5769,0.0385,3,0.5779914529914529,0.8624260355029586,21,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group2,1.0,,
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group2_All\Gemini_GraphBatch_ZERO_SHOT_Group2_Temp_1.2_topP_0.95,Gemini,Group2,zero-shot,1.2,0.95,42424242,0.8462,0.6647,0.9385,0.9231,0.7586,0.9786,0.7512,0.877,0.8713,0.8981,0.5207,0.9366,0.6481,0.9904,0.6688,1.0,0.6707,1.0,-0.1538,-0.4615,0.0385,2,0.6196581196581197,0.8816568047337279,22,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group2,1.2,,
Gemini_All\Gemini_2.5Pro_Zero_Shot_All\Group2_All\Gemini_GraphBatch_ZERO_SHOT_Group2_Temp_1.4_topP_0.95,Gemini,Group2,zero-shot,1.4,0.95,42424242,0.8462,0.6647,0.9385,0.9231,0.7586,0.9786,0.7374,0.8802,0.8646,0.9021,0.5115,0.929,0.6566,0.9905,0.6524,1.0,0.6775,1.0,-0.0769,-0.3846,0.1538,2,0.5793650793650793,0.8653846153846154,22,Using the memo grade the 26 students graphs X/3.,Zero-shot,Gemini 2.5 Pro,Group2,1.4,,
